mv_eth,1461934605.022603
mv_eth,1461934629.210531
mv_eth,1461934683.936490
mv_eth,1461934848.074367
mv_eth,1461935028.496592
mv_ib,1461931572.201406
mv_ib,1461931638.132475
mv_ib,1461931685.951639
mv_ib,1461931786.675284
mv_ib,1461933191.251741
mv_n1,1461930670.378112
mv_n1,1461930679.780282
mv_n1,1461930706.335307
mv_n1,1461930751.066491
mv_n1,1461930850.282082
op_ib,1461938495.697516
op_ib,1461938529.120741
op_ib,1461938587.445449
op_ib,1461938731.752860
op_ib,1461939084.812895
op_eth,1461940731.214666
op_eth,1461940746.858266
op_eth,1461940775.844853
op_eth,1461940836.209001
op_eth,1461940937.461183
op_n1,1461937820.163317
op_n1,1461937832.337346
op_n1,1461937854.061115
op_n1,1461937913.768657
op_n1,1461938008.573781
